molecule_chembl_id,canonical_smiles,bioactivityclass,MW,LogP,NumHDonors,NumHAcceptors,pIC50
CHEMBL433728,c1ccc2c(c1)CCC1C(c3ccsc3)C21,inactive,226.34400000000002,4.191500000000003,0.0,1.0,5.0
CHEMBL169449,O=C1c2ccccc2CCC1C(O)c1cnccn1,inactive,254.28900000000002,1.9552999999999998,1.0,4.0,5.0
CHEMBL2112526,C[C@]12CC[C@H]3[C@@H](CC=C4C[C@@H](O)CC[C@@]43C)[C@@H]1CC=C2c1c[nH]cn1,active,338.495,4.726700000000004,2.0,2.0,7.309803919971486
CHEMBL304903,c1ccc2c(c1)CCC1C(c3ccncc3)C21,inactive,221.30300000000003,3.525000000000002,0.0,1.0,4.443697499232712
CHEMBL2112533,Cc1nc([C@H]2CC[C@H]3[C@@H]4CC=C5C[C@@H](O)CC[C@]5(C)[C@H]4CC[C@]23C)c[nH]1,intermediate,354.53800000000007,5.1254200000000045,2.0,2.0,5.317584138322641
CHEMBL168434,O=C1/C(=C/c2c[nH]cn2)CCc2ccccc21,inactive,224.26299999999998,2.622200000000001,1.0,2.0,4.508638306165727
CHEMBL352645,c1ccc2c(c1)CCC1C(c3c[nH]cn3)C21,inactive,210.28000000000003,2.8531000000000004,1.0,1.0,4.045757490560675
CHEMBL325307,C[C@]12CCC3C(CCC4=CC(=O)CC[C@@]43C)C1CC=C2c1c[nH]cn1,active,336.479,4.934900000000004,1.0,2.0,7.853871964321762
CHEMBL114864,C[C@]12CCC3C(CC=C4CC(O)CC[C@@]43C)C1CC=C2c1ccnn1-c1ccccc1,intermediate,414.5930000000001,6.1893000000000065,1.0,3.0,5.823908740944319
CHEMBL115944,C[C@]12CCC3C(CC=C4CC(O)CC[C@@]43C)C1CCC2c1cc[nH]n1,intermediate,340.511,4.817000000000004,2.0,2.0,5.823908740944319
CHEMBL440930,c1cncc(C2C3CCc4ccccc4C32)c1,inactive,221.30300000000003,3.525000000000002,0.0,1.0,4.060480747381382
