molecule_chembl_id,canonical_smiles,standard_value,bioactivityclass
CHEMBL166789,c1ccc(C2C3CCc4ccccc4C32)nc1,10000.0,inactive
CHEMBL415753,O=C1/C(=C/c2cc[nH]n2)CCc2ccccc21,10000.0,inactive
CHEMBL79955,Oc1c(F)c(F)c(F)c(F)c1/N=N/c1c(F)c(F)c(F)c(F)c1F,63000.0,inactive
CHEMBL78395,Fc1c(F)c(F)c2[nH]c3c(F)c(F)c(F)c(F)c3o[nH]c2c1F,50000.0,inactive
CHEMBL419934,C[C@]12CCC3C(CC=C4CC(O)CC[C@@]43C)C1CCC2c1ncc[nH]1,1500.0,intermediate
CHEMBL113966,C[C@]12CCC3C(CCC4=CC(=O)CC[C@@]43C)C1CC[C@@H]2c1c[nH]cn1,79.0,active
CHEMBL113448,C[C@]12CCC3C(CCC4=CC(=O)CC[C@@]43C)C1CC=C2c1cc[nH]n1,76.0,active
CHEMBL169664,O=C1c2ccccc2CCC1C(O)c1cccnn1,10000.0,inactive
CHEMBL168762,O=C1c2ccccc2CCC1C(O)c1ccnnc1,10000.0,inactive
CHEMBL309703,Oc1c(F)c(F)c(/N=N/c2c(F)c(F)c(F)c(F)c2F)c(F)c1F,30000.0,inactive
CHEMBL168444,O=C1c2ccccc2CCC1C(O)c1ccncn1,10000.0,inactive
CHEMBL325895,Cn1ccc(C2=CCC3C4CC=C5CC(O)CC[C@]5(C)C4CC[C@]23C)n1,1500.0,intermediate
CHEMBL2112528,CC(=O)O[C@H]1CC[C@@]2(C)C(=CC[C@H]3[C@@H]4CC[C@H](c5c[nH]cn5)[C@@]4(C)CC[C@@H]32)C1,1500.0,intermediate
CHEMBL169086,O=C1/C(=C/c2cncs2)CCc2ccccc21,21000.0,inactive
CHEMBL168700,c1ccc(C2C3CCc4ccccc4C32)cc1,10000.0,inactive
CHEMBL333604,Cn1nccc1C1=CCC2C3CC=C4CC(O)CC[C@]4(C)C3CC[C@]12C,1500.0,intermediate
CHEMBL2112534,CC(=O)O[C@H]1CC[C@@]2(C)C(=CC[C@H]3[C@@H]4CC=C(c5c[nH]cn5)[C@@]4(C)CC[C@@H]32)C1,1500.0,intermediate
CHEMBL541717,C[C@]12CCC3C(CC=C4CC(O)CC[C@@]43C)C1CC[C@@H]2c1c[nH]c(-c2ccccc2)n1,1500.0,intermediate
CHEMBL113804,C[C@]12CCC3C(CC=C4CC(O)CC[C@@]43C)C1CCC2c1ccno1,1500.0,intermediate
CHEMBL2112518,C[C@]12CC[C@H]3[C@@H](CC=C4C[C@@H](O)CC[C@@]43C)[C@@H]1CC[C@@H]2c1c[nH]cn1,91.0,active
CHEMBL113407,C[C@]12CCC3C(CCC4=CC(=O)CC[C@@]43C)C1CC[C@@H]2C1N=CC=N1,1500.0,intermediate
CHEMBL424203,O=C1/C(=C/c2ccccn2)CCc2ccccc21,10000.0,inactive
CHEMBL28689,O=C1/C(=C/c2ccccc2)CCc2ccccc21,10000.0,inactive
CHEMBL166974,O=C1/C(=C/c2ccsc2)CCc2ccccc21,10000.0,inactive
CHEMBL307729,C[C@]12CCC3C(CCC4=CC(=O)CC[C@@]43C)C1CC=C2n1cncn1,11.0,active
CHEMBL310822,C[C@]12CCC3C(CC=C4C[C@@H](O)CC[C@@]43C)C1CC=C2n1cncn1,26.0,active
CHEMBL74661,C[C@]12CCC3C(CC=C4C[C@@H](O)CC[C@@]43C)C1CC=C2n1ccnc1,9.0,active
CHEMBL78003,C[C@]12CCC3C(CCC4=CC(=O)CC[C@@]43C)C1CC=C2n1ccnn1,9.0,active
CHEMBL310336,C[C@]12CCC3C(CCC4=CC(=O)CC[C@@]43C)C1CC=C2n1ccnc1,8.0,active
CHEMBL78108,C[C@]12CCC3C(CC=C4C[C@@H](O)CC[C@@]43C)C1CC=C2n1ccnn1,10.0,active
CHEMBL131984,C[C@@H]1C(OC(=O)Cc2cccnc2)CC2CC1C2(C)C,460.0,active
CHEMBL132072,C[C@@H]1C(OC(=O)Cc2ccncc2)CC2CC1C2(C)C,260.0,active
CHEMBL337251,C[C@@H]1C(OC(=O)C(C)(C)c2cccnc2)CC2CC1C2(C)C,47.0,active
CHEMBL336403,CC12CCC(O)CC1=CCC1C2CCC2(C)/C(=C/C=N/O)CCC12,125000.0,inactive
CHEMBL137040,C/C(CC1CCC2C3CCC4=CC(=O)CCC4(C)C3CCC12C)=N\O,3600.0,intermediate
CHEMBL135651,C/C(=N/O)[C@H]1CCC2C3CCC4=CC(=O)CCC4(C)C3CCC21C,125000.0,inactive
CHEMBL2112747,C/C(=N/O)[C@H]1CC=C2[C@@H]3CC=C4C[C@@H](O)CC[C@]4(C)[C@H]3CC[C@@]21C,125000.0,inactive
CHEMBL135772,C/C(CC1CCC2C3CC=C4CC(O)CCC4(C)C3CCC12C)=N\O,9800.0,intermediate
CHEMBL2112731,C[C@]12CC[C@H]3[C@@H](CC=C4C[C@@H](O)CC[C@@]43C)C1CC/C2=C/C=N\O,520.0,active
CHEMBL135993,CC12CCC(=O)C=C1CCC1C2CCC2(C)C(C/C=N/O)CCC12,300.0,active
CHEMBL2112737,C/C(=N/O)C1=CCC2[C@@H]3CC=C4C[C@@H](O)CC[C@]4(C)[C@H]3CC[C@]12C,125000.0,inactive
CHEMBL440165,CC12CCC(O)CC1=CCC1C2CCC2(C)C(C/C=N/O)CCC12,2760.0,intermediate
CHEMBL2112735,C[C@]12CC[C@H]3[C@@H](CCC4=C[C@@H](O)CC[C@@]43C)C1CC/C2=C/C=N\O,140.0,active
CHEMBL135288,C/C(=N/O)C1=CC=C2C3CCC4=CC(=O)CCC4(C)C3CCC12C,125000.0,inactive
CHEMBL135351,C/C(=N/O)C1=CCC2C3CCC4=CC(=O)CCC4(C)C3CCC12C,125000.0,inactive
CHEMBL132969,C/C(=N/O)C1CC=C2C3CC=C4CC(O)CCC4(C)C3CCC21C,125000.0,inactive
CHEMBL53644,c1ccc2c(c1)CCCC2CCn1ccnc1,20000.0,inactive
CHEMBL292899,c1cnc2c(c1)C(CCn1ccnc1)CCC2,125000.0,inactive
CHEMBL323546,O=C(Cc1ccncc1)Oc1ccccc1,100000.0,inactive
CHEMBL102981,CC(C(=O)OC1CCCCC1)c1ccncc1,2200.0,intermediate
CHEMBL105298,CC1CCC(C(C)C)C(OC(=O)Cc2ccncc2)C1,15000.0,inactive
CHEMBL321729,CC1CCC(OC(=O)Cc2ccncc2)CC1,36000.0,inactive
CHEMBL104126,CC(C)CC(C)OC(=O)Cc1ccncc1,17000.0,inactive
CHEMBL104047,O=C(Cc1ccncc1)OC12CC3CC(CC(C3)C1)C2,610.0,active
CHEMBL105044,CC1(OC(=O)Cc2ccncc2)CCCCC1,11000.0,inactive
CHEMBL102536,CC1(C)C2CCC1(C)C(OC(=O)Cc1ccncc1)C2,2200.0,intermediate
CHEMBL104566,CC1CCC(OC(=O)Cc2ccncc2)C1,32000.0,inactive
CHEMBL102884,CC(C)(C)C1CCC(OC(=O)Cc2ccncc2)CC1,3000.0,intermediate
CHEMBL103685,CC(C)(C(=O)OC1CCCCC1)c1ccncc1,4500.0,intermediate
CHEMBL102409,O=C(Cc1ccncc1)OC1CCCCC1,20000.0,inactive
CHEMBL103040,O=C(Cc1ccncc1)OC1=CC2CCC1C2,46000.0,inactive
CHEMBL101743,CCC1CCC(OC(=O)Cc2ccncc2)CC1,2700.0,intermediate
CHEMBL319026,CC1C(OC(=O)Cc2ccncc2)CC2CC1C2(C)C,1800.0,intermediate
CHEMBL323585,CC(C)CCOC(=O)Cc1ccncc1,100000.0,inactive
CHEMBL105289,O=C(Cc1ccncc1)OC1CCCC1,131000.0,inactive
CHEMBL102510,CC(C)OC(=O)Cc1ccncc1,100000.0,inactive
CHEMBL377770,Fc1ccc(Cn2ccnc2)cc1,18440.0,inactive
CHEMBL441367,Clc1ccc(Cn2ccnc2)cc1,2810.0,intermediate
CHEMBL211207,Brc1ccc(Cn2ccnc2)cc1,6760.0,intermediate
CHEMBL427399,Ic1ccc(Cn2ccnc2)cc1,1580.0,intermediate
CHEMBL349822,N#Cc1ccc(Cn2ccnc2)cc1,7670.0,intermediate
CHEMBL13784,O=[N+]([O-])c1ccc(Cn2ccnc2)cc1,7170.0,intermediate
CHEMBL212741,Cc1ccc(Cn2ccnc2)cc1,8810.0,intermediate
CHEMBL166845,Oc1ccc(Cn2ccnc2)cc1,8220.0,intermediate
CHEMBL213596,FC(F)(F)c1cc(Cn2ccnc2)cc(C(F)(F)F)c1,19460.0,inactive
CHEMBL446946,Fc1cc(F)cc(Cn2ccnc2)c1,11800.0,inactive
CHEMBL373588,Fc1ccc(Cn2ccnc2)cc1F,9600.0,intermediate
CHEMBL210125,Clc1cc(Cl)cc(Cn2ccnc2)c1,3340.0,intermediate
CHEMBL379436,Clc1ccc(Cn2ccnc2)cc1Cl,2070.0,intermediate
CHEMBL211276,Brc1cc(Br)cc(Cn2ccnc2)c1,3160.0,intermediate
